,count_x,title,poster,release_date,over_view
0,0,웬즈데이,/t/p/w94_and_h141_bestv2/tNWCukAMubqisamYURvo5jw61As.jpg,"11월 23, 2022","똑똑하고 비꼬는 것에 도가 튼 웬즈데이 아담스. 암울함을 풍기는 그녀가 네버모어 아카데미에서 연쇄 살인 사건을 조사하기 시작한다. 새 친구도 사귀고, 앙숙도 만들며."
1,1,너의 모든 것,/t/p/w94_and_h141_bestv2/5jKHUJATJDwLE7fAgH5NvTRipXS.jpg,"9월  9, 2018","지적이고 영리한 서점 직원. 하지만 위험한 내면을 지닌 그가 작가 지망생에게 반한다. 마음이 끌리는 사람에게 다가가기 위해서라면, 무슨 짓이든 할 수 있다. 위험한 매력의 소유자, 집착의 끝을 보여주는 남자. 그의 소름 끼치는 로맨스가 시작된다."
2,2,루시퍼,/t/p/w94_and_h141_bestv2/4EYPN5mVIhKLfxGruy7Dy41dTVn.jpg,"1월 25, 2016",지긋지긋한 지옥 생활을 청산하고 은퇴를 선언한 악마. LA로 와 나이트클럽을 열고 인생을 즐기던 어느 날 강력계 형사를 만나면서 새로운 삶을 살기 시작한다.
3,3,세 개의 비밀,/t/p/w94_and_h141_bestv2/xwZVZCXUq2ir54zYtfHtJgyf1Hy.jpg,"2월 22, 2023",출생 후 일란성 세쌍둥이인 자매 둘과 생이별하게 되었다는 사실을 알게 된 레베카. 그녀가 자신의 출생에 대한 진실을 밝히기 위해 위험천만한 여정에 오른다.
4,4,더 글로리,/t/p/w94_and_h141_bestv2/m0cNGGKPVF3Yccx7iBQZUBQxuLJ.jpg,"12월 30, 2022","고등학교 시절, 끔찍한 괴롭힘에 시달렸던 여자. 많은 시간이 흐른 후, 가해자들을 응징하기 위해 그녀가 치밀한 복수를 감행한다."
5,5,섹스/라이프,/t/p/w94_and_h141_bestv2/kfcJl5e8CRWDU7e4vX6uNABPRbS.jpg,"6월 25, 2021","아내이자 엄마로 살아가는 그녀. 하지만 대담하고 관능적인 과거가 평온한 현재를 뒤흔든다. 그가 다시 나타났기 때문이다. 언제나 그녀 마음에 남아있던 남자, 불꽃처럼 타오르던 나쁜 남자가."
6,6,기묘한 이야기,/t/p/w94_and_h141_bestv2/mpOQpOKdo2XJnTqRzo1lTmDNsc1.jpg,"7월 15, 2016","인디애나주의 작은 마을에서 행방불명된 소년. 이와 함께 미스터리한 힘을 가진 소녀가 나타나고, 마을에는 기묘한 현상들이 일어나기 시작한다. 아들을 찾으려는 엄마와 마을 사람들은 이제 정부의 일급비밀 실험의 실체와 무시무시한 기묘한 현상들에 맞서야 한다."
7,7,종말의 발키리,/t/p/w94_and_h141_bestv2/ygE1AEV6pXFuCzbjS9ts59LxDm5.jpg,"6월 17, 2021","7백만 년 인류 역사에 종지부를 찍기로 한 신들. 그들이 인간에게 마지막 기회를 준다. 전 세계의 신과 사상 최강의 인간이 일대일로 맞붙는 열세 번의 승부, ‘라그나로크’가 지금 시작된다."
8,8,지금 우리 학교는,/t/p/w94_and_h141_bestv2/d9yefq8dNke4UbuqStBtUcO9TxD.jpg,"1월 28, 2022",좀비 바이러스 발생의 시발점이 된 고등학교. 이곳에 갇힌 학생들은 필사적으로 탈출구를 찾아야만 한다. 그렇지 않으면 감염되어 좀비가 될 뿐.
9,9,위쳐: 블러드 오리진,/t/p/w94_and_h141_bestv2/vpfJK9F0UJNcAIIeC42oJyKMnZQ.jpg,"12월 25, 2022","괴물을 잡는 괴물, 리비아의 게롤트가 존재하지 않던 시절. 1,200년 전의 세계가 열린다. 괴물과 인간, 그리고 엘프가 하나가 되고자 했던 그때. 최초의 위쳐가 탄생한다."
10,10,블루 록,/t/p/w94_and_h141_bestv2/2FwZ4fzLowDvuNpFsfU211yUaHg.jpg,"10월  9, 2022","세계 제일의 에고이스트가 아니면,"
11,11,라스트 킹덤,/t/p/w94_and_h141_bestv2/wUFIEJCSmurmXPX0mP0cEgoltrk.jpg,"10월 10, 2015","잉글랜드의 마지막 왕국을 물려받은 알프레드. 잉글랜드의 핏줄로 바이킹 전사가 된 우트레드. 이들은 적인가, 동지인가. 라스트 킹덤에 전운이 감도는 지금, 두 남자의 운명이 맞물리기 시작한다."
12,12,오징어 게임,/t/p/w94_and_h141_bestv2/yACIAqAkSLkX4coHafpyLWAtQjw.jpg,"9월 17, 2021",빚에 쫓기는 수백 명의 사람들이 서바이벌 게임에 뛰어든다. 거액의 상금으로 새로운 삶을 시작하기 위해. 하지만 모두 승자가 될 순 없는 법. 탈락하는 이들은 치명적인 결과를 각오해야 한다.
13,13,코브라 카이,/t/p/w94_and_h141_bestv2/5qMupAz4A9EN5Rutrkmov45mNXZ.jpg,"5월  2, 2018",1984년 가라데 토너먼트에서 다니엘 라루소에게 충격의 패배를 당한 조니 로렌스는 이후 인생이 완전 꼬이기 시작하였다.  여자 친구는 도망가고 하는 일마다 다 망하고 급기야 해고까지 당하게 된다. 하지만 다니엘 라루소는 그날 이후 승승장구 지역의 유명한 사업가로 성공하며 어느덧 조니의 원수이자 질투의 대상으로 떠오르게 된다. 조니는 마지막 보루로 코브라 카이라는 가라데 도장을 차리게 되고 첫 수제자인 미구엘을 훈련시켜 조니의 수제자와 대결 시키게 되는데...
14,14,이토 준지: 매니악,/t/p/w94_and_h141_bestv2/fvYNKJ5wYQrYudk1NroSgepNpH0.jpg,"1월 19, 2023","공포 만화의 대가 이토 준지. 그의 정신세계 속에서도 가장 괴이하고, 불편하고, 무서운 이야기들만 골라낸 소름 돋는 걸작선."
15,15,엘리트들,/t/p/w94_and_h141_bestv2/9On5DKsxwgPm1UHaqjUZdQ5eyFo.jpg,"10월  5, 2018",애초부터 어울리지 않는 옷이었을까. 스페인 최고의 명문 사립 학교에 전학 오게 된 세 명의 평범한 아이들. 행운을 붙잡은 줄 알았던 이들은 살인 사건에 깊이 연루된다.
16,16,스노우 걸,/t/p/w94_and_h141_bestv2/utAGuquSCqZbJau4ZNP1DMjrUSe.jpg,"1월 27, 2023",스페인 말라가에서 열린 축제 퍼레이드에서 실종된 여자아이. 이 소식을 접한 젊은 신문기자가 사라진 아이를 찾으려는 부모를 어떻게든 돕기로 마음먹는다.
17,17,종이의 집: 공동경제구역,/t/p/w94_and_h141_bestv2/7zLHH6LV6rI6emO0z1U8VZDUkjd.jpg,"6월 24, 2022",통일을 앞둔 미래의 한반도. '교수'라 불리는 수수께끼의 인물이 남과 북의 노련한 도둑들을 모아 희대의 인질극을 꾸민다. 이 작전의 목표는 갓 찍어낸 지폐를 훔쳐 탈출하는 것.
